sample_ID,serial_sample_ID,clone,days_in_culture,E3_genotype,replicate,doublings_density
S145,X1,RA1,D03,sgAAVS1,A,1.58
S146,X2,RA1,D03,sgAAVS1,B,1.58
S147,X3,RA1,D03,sgAAVS1,C,1.58
S110,X4,RA1,D06,sgAAVS1,A,3.00
S123,X5,RA1,D06,sgAAVS1,B,3.00
S68,X6,RA1,D06,sgAAVS1,C,3.00
S57,X7,RA1,D10,sgAAVS1,A,5.75
S22,X8,RA1,D10,sgAAVS1,B,5.75
S104,X9,RA1,D10,sgAAVS1,C,5.75
S98,X10,RA1,D14,sgAAVS1,A,8.08
S46,X11,RA1,D14,sgAAVS1,B,8.08
S140,X12,RA1,D14,sgAAVS1,C,8.08
S42,X13,RA1,D17,sgAAVS1,A,10.36
S107,X14,RA1,D17,sgAAVS1,B,10.36
S23,X15,RA1,D17,sgAAVS1,C,10.36
S144,X16,RA1,D23,sgAAVS1,A,15.23
S48,X17,RA1,D23,sgAAVS1,B,15.23
S55,X18,RA1,D23,sgAAVS1,C,15.23
S119,X19,RA1,D28,sgAAVS1,A,18.90
S89,X20,RA1,D28,sgAAVS1,B,18.90
S92,X21,RA1,D28,sgAAVS1,C,18.90
S40,X22,RA1,D06,sgHUWE1,A,1.91
S127,X23,RA1,D06,sgHUWE1,B,1.91
S11,X24,RA1,D06,sgHUWE1,C,1.91
S77,X25,RA1,D10,sgHUWE1,A,4.32
S135,X26,RA1,D10,sgHUWE1,B,4.32
S142,X27,RA1,D10,sgHUWE1,C,4.32
S25,X28,RA1,D14,sgHUWE1,A,5.29
S131,X29,RA1,D14,sgHUWE1,B,5.29
S15,X30,RA1,D14,sgHUWE1,C,5.29
S120,X31,RA1,D17,sgHUWE1,A,5.78
S109,X32,RA1,D17,sgHUWE1,B,5.78
S133,X33,RA1,D17,sgHUWE1,C,5.78
S122,X34,RA1,D23,sgHUWE1,A,8.19
S71,X35,RA1,D23,sgHUWE1,B,8.19
S94,X36,RA1,D23,sgHUWE1,C,8.19
S96,X37,RA1,D28,sgHUWE1,A,11.41
S95,X38,RA1,D28,sgHUWE1,B,11.41
S18,X39,RA1,D28,sgHUWE1,C,11.41
S76,X40,RA1,D06,sgUBR4,A,1.91
S32,X41,RA1,D06,sgUBR4,B,1.91
S70,X42,RA1,D06,sgUBR4,C,1.91
S52,X43,RA1,D10,sgUBR4,A,3.75
S62,X44,RA1,D10,sgUBR4,B,3.75
S37,X45,RA1,D10,sgUBR4,C,3.75
S130,X46,RA1,D14,sgUBR4,A,5.08
S74,X47,RA1,D14,sgUBR4,B,5.08
S59,X48,RA1,D14,sgUBR4,C,5.08
S35,X49,RA1,D17,sgUBR4,A,7.04
S38,X50,RA1,D17,sgUBR4,B,7.04
S85,X51,RA1,D17,sgUBR4,C,7.04
S114,X52,RA1,D23,sgUBR4,A,10.98
S3,X53,RA1,D23,sgUBR4,B,10.98
S73,X54,RA1,D23,sgUBR4,C,10.98
S54,X55,RA1,D28,sgUBR4,A,13.91
S61,X56,RA1,D28,sgUBR4,B,13.91
S112,X57,RA1,D28,sgUBR4,C,13.91
S129,X58,RA1,D06,sgUBR5,A,2.32
S67,X59,RA1,D06,sgUBR5,B,2.32
S111,X60,RA1,D06,sgUBR5,C,2.32
S64,X61,RA1,D10,sgUBR5,A,3.83
S56,X62,RA1,D10,sgUBR5,B,3.83
S41,X63,RA1,D10,sgUBR5,C,3.83
S19,X64,RA1,D14,sgUBR5,A,5.71
S84,X65,RA1,D14,sgUBR5,B,5.71
S9,X66,RA1,D14,sgUBR5,C,5.71
S116,X67,RA1,D17,sgUBR5,A,7.86
S43,X68,RA1,D17,sgUBR5,B,7.86
S4,X69,RA1,D17,sgUBR5,C,7.86
S126,X70,RA1,D23,sgUBR5,A,11.76
S105,X71,RA1,D23,sgUBR5,B,11.76
S20,X72,RA1,D23,sgUBR5,C,11.76
S34,X73,RA1,D28,sgUBR5,A,15.05
S141,X74,RA1,D28,sgUBR5,B,15.05
S60,X75,RA1,D28,sgUBR5,C,15.05